company_name,company_country,company_employees,company_website,company_status,file_name
GCP ASSET MANAGEMENT (UK) LTD,"['UNITED KINGDOM', 'UNITED KINGDOM']","['49', nan]",https://www.info-clipper.com/en/company/united-kingdom/gcp-asset-management-ltd.gbd3qniyk.html,"['LONDON', 'Single address']",wissel_aziende_info_clipper
STMICROELECTRONICS SRL,"['ITALY', 'ITALY']","['50', 'STM']",https://www.info-clipper.com/en/company/italy/stmicroelectronics-srl.itd783g70.html,"['AGRATE BRIANZA', nan]",wissel_aziende_info_clipper
MILWORKS OU,"['ESTONIA', 'ESTONIA']","['51', nan]",https://www.info-clipper.com/en/company/estonia/milworks-ou.eed604b6u.html,"['Tallinn', 'Single address']",wissel_aziende_info_clipper
"HYATT HOTELS OF FLORIDA, INC.","['Florida(FL)', 'UNITED STATES']","['52', 'HYATT REGENCY ORLANDO']",https://www.info-clipper.com/en/company/united-states/hyatt-hotels-of-florida-inc.usd2fxy9g.html,"['ORLANDO', 'Single address']",wissel_aziende_info_clipper
GARNET UK 7 NEW LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['53', nan]",https://www.info-clipper.com/en/company/united-kingdom/garnet-uk-7-new-limited.gbd3qnj0a.html,"['LONDON', 'Single address']",wissel_aziende_info_clipper
TRAVAGLINI LOGISTIC AND TRANSPORT SRL,"['ITALY', 'ITALY']","['54', 'TRAVAGLINI']",https://www.info-clipper.com/en/company/italy/travaglini-logistic-and-transport-srl.itd8yjfru.html,"['ATESSA', nan]",wissel_aziende_info_clipper
BOLT OPERATIONS OU,"['ESTONIA', 'ESTONIA']","['55', nan]",https://www.info-clipper.com/en/company/estonia/bolt-operations-ou.eed8vcqq5.html,"['Tallinn', 'Headquarter']",wissel_aziende_info_clipper
"KOLB-LENA, INC.","['Illinois(IL)', 'UNITED STATES']","['56', nan]",https://www.info-clipper.com/en/company/united-states/kolb-lena-inc.usdvoe4t.html,"['LENA', 'Single address']",wissel_aziende_info_clipper
GARNET UK 7 NEW RESIDENTIAL LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['57', nan]",https://www.info-clipper.com/en/company/united-kingdom/garnet-uk-7-new-residential-limited.gbd3qqt9p.html,"['LONDON', 'Single address']",wissel_aziende_info_clipper
HUNTSMAN GOMET SRL,"['ITALY', 'ITALY']","['58', nan]",https://www.info-clipper.com/en/company/italy/huntsman-gomet-srl.itd78qypq.html,"['AZEGLIO', 'Headquarter']",wissel_aziende_info_clipper
B-BUS OU,"['ESTONIA', 'ESTONIA']","['59', nan]",https://www.info-clipper.com/en/company/estonia/b-bus-ou.eed8vcsxg.html,"['Tallinn', 'Single address']",wissel_aziende_info_clipper
VERIZON INTERNATIONAL HOLDINGS INC.,"['Delaware(DE)', 'UNITED STATES']","['60', nan]",https://www.info-clipper.com/en/company/united-states/verizon-international-holdings-inc.usddpw757.html,"['WILMINGTON', 'Headquarter']",wissel_aziende_info_clipper
GARNET UK 23 NEW LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['61', nan]",https://www.info-clipper.com/en/company/united-kingdom/garnet-uk-23-new-limited.gbd3qstzt.html,"['LONDON', 'Single address']",wissel_aziende_info_clipper
JOHNSON CONTROLS ITALIA SRL,"['ITALY', 'ITALY']","['62', nan]",https://www.info-clipper.com/en/company/italy/johnson-controls-italia-srl.itd72wh92.html,"['CINISELLO BALSAMO', 'Headquarter']",wissel_aziende_info_clipper
LUMINOR BANK AS,"['ESTONIA', 'ESTONIA']","['63', nan]",https://www.info-clipper.com/en/company/estonia/luminor-bank-as.eed9crwlr.html,"['Tallinn', 'Headquarter']",wissel_aziende_info_clipper
"MICRO FOCUS (US) INTERNATIONAL HOLDINGS, INC.","['Delaware(DE)', 'UNITED STATES']","['64', nan]",https://www.info-clipper.com/en/company/united-states/micro-focus-international-holdings-inc.usd1y0wi3.html,"['WILMINGTON', 'Headquarter']",wissel_aziende_info_clipper
TURNER BROADCASTING SYSTEM EUROPE LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['65', nan]",https://www.info-clipper.com/en/company/united-kingdom/turner-broadcasting-system-europe-limited.gbd4w10u9.html,"['LONDON', 'Headquarter']",wissel_aziende_info_clipper
JOHNSON ELECTRIC ASTI SRL,"['ITALY', 'ITALY']","['66', nan]",https://www.info-clipper.com/en/company/italy/johnson-electric-asti-srl.itd73fmxg.html,"['ASTI', 'Headquarter']",wissel_aziende_info_clipper
TALLINK AS,"['ESTONIA', 'ESTONIA']","['67', nan]",https://www.info-clipper.com/en/company/estonia/tallink-as.eed626xgr.html,"['Tallinn', 'Headquarter']",wissel_aziende_info_clipper
"USF INTERNATIONAL HOLDINGS, LLC","['Delaware(DE)', 'UNITED STATES']","['68', nan]",https://www.info-clipper.com/en/company/united-states/usf-international-holdings-llc.usd1yblms.html,"['WILMINGTON', 'Headquarter']",wissel_aziende_info_clipper
SOUTHERN PARKS LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['69', 'Aria Resorts']",https://www.info-clipper.com/en/company/united-kingdom/southern-parks-limited.gbd3lwnlc.html,"['HEMEL HEMPSTEAD', nan]",wissel_aziende_info_clipper
MOBY SPA,"['ITALY', 'ITALY']","['70', nan]",https://www.info-clipper.com/en/company/italy/moby-spa.itd7a2prk.html,"['MILANO', 'Headquarter']",wissel_aziende_info_clipper
TALLINK GRUPP AS,"['ESTONIA', 'ESTONIA']","['71', nan]",https://www.info-clipper.com/en/company/estonia/tallink-grupp-as.eedao5lpi.html,"['Tallinn', 'Headquarter']",wissel_aziende_info_clipper
"GANTREX, INC.","['Pennsylvania(PA)', 'UNITED STATES']","['72', nan]",https://www.info-clipper.com/en/company/united-states/gantrex-inc.usd213tq3.html,"['CANONSBURG', 'Single address']",wissel_aziende_info_clipper
CVC ADVISERS LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['73', nan]",https://www.info-clipper.com/en/company/united-kingdom/cvc-advisers-limited.gbdc5dfag.html,"['LONDON', 'Headquarter']",wissel_aziende_info_clipper
GALPERTI ENGINEERING AND FLOW CONTROL SPA,"['ITALY', 'ITALY']","['74', nan]",https://www.info-clipper.com/en/company/italy/galperti-engineering-and-flow-control-spa.itd8i2fj4.html,"['COLICO (ZONA INDUSTRIALE )', 'Headquarter']",wissel_aziende_info_clipper
TOP CONNECT OU,"['ESTONIA', 'ESTONIA']","['75', nan]",https://www.info-clipper.com/en/company/estonia/top-connect-ou.eed8unvvo.html,"['Tallinn', 'Headquarter']",wissel_aziende_info_clipper
ALABAMA POWER COMPANY,"['Alabama(AL)', 'UNITED STATES']","['76', nan]",https://www.info-clipper.com/en/company/united-states/alabama-power-company.usd43w60.html,"['BIRMINGHAM', 'Headquarter']",wissel_aziende_info_clipper
PENGUIN RANDOM HOUSE LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['77', nan]",https://www.info-clipper.com/en/company/united-kingdom/penguin-random-house-limited.gbd3smzhu.html,"['LONDON', 'Headquarter']",wissel_aziende_info_clipper
ABB SPA,"['ITALY', 'ITALY']","['78', nan]",https://www.info-clipper.com/en/company/italy/abb-spa.itd72y6i2.html,"['SESTO SAN GIOVANNI', 'Headquarter']",wissel_aziende_info_clipper
PONTOS BALTIC AS,"['ESTONIA', 'ESTONIA']","['79', nan]",https://www.info-clipper.com/en/company/estonia/pontos-baltic-as.eedanofin.html,"['Tallinn', 'Headquarter']",wissel_aziende_info_clipper
"CONSTRUCTION PARTNERS, INC.","['Alabama(AL)', 'UNITED STATES']","['80', nan]",https://www.info-clipper.com/en/company/united-states/construction-partners-inc.usd5zdwd.html,"['DOTHAN', 'Headquarter']",wissel_aziende_info_clipper
THE RANDOM HOUSE GROUP LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['81', nan]",https://www.info-clipper.com/en/company/united-kingdom/the-random-house-group-limited.gbd3i7f2t.html,"['LONDON', 'Headquarter']",wissel_aziende_info_clipper
OLI SPA,"['ITALY', 'ITALY']","['82', nan]",https://www.info-clipper.com/en/company/italy/oli-spa.itd73gt5d.html,"['MEDOLLA', 'Headquarter']",wissel_aziende_info_clipper
SANDMANI GRUPI AS,"['ESTONIA', 'ESTONIA']","['83', nan]",https://www.info-clipper.com/en/company/estonia/sandmani-grupi-as.eed898jkc.html,"['Tallinn', 'Headquarter']",wissel_aziende_info_clipper
"GADSDEN REGIONAL MEDICAL CENTER, LLC","['Alabama(AL)', 'UNITED STATES']","['84', nan]",https://www.info-clipper.com/en/company/united-states/gadsden-regional-medical-center-llc.usd2jg16a.html,"['GADSDEN', 'Headquarter']",wissel_aziende_info_clipper
AVANTI GAS LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['85', nan]",https://www.info-clipper.com/en/company/united-kingdom/avanti-gas-limited.gbd4rp22h.html,"['CHESTERFIELD', 'Headquarter']",wissel_aziende_info_clipper
OLI EBIKE SYSTEMS SRL,"['ITALY', 'ITALY']","['86', nan]",https://www.info-clipper.com/en/company/italy/oli-ebike-systems-srl.itd7au74p.html,"['MODENA', 'Headquarter']",wissel_aziende_info_clipper
PRFOODS AS,"['ESTONIA', 'ESTONIA']","['87', nan]",https://www.info-clipper.com/en/company/estonia/prfoods-as.eed9co32f.html,"['Tallinn', 'Headquarter']",wissel_aziende_info_clipper
"LUMINATE CAPITAL PARTNERS II, LP","['California(CA)', 'UNITED STATES']","['88', nan]",https://www.info-clipper.com/en/company/united-states/luminate-capital-partners-ii-lp.usd1btgka.html,"['SAN FRANCISCO', 'Headquarter']",wissel_aziende_info_clipper
BOUYGUES E&S SOLUTIONS LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['89', 'BOUYGUES CONSTRUCTION']",https://www.info-clipper.com/en/company/united-kingdom/bouygues-es-solutions-limited.gbd3obmrq.html,"['LONDON', nan]",wissel_aziende_info_clipper
BUSINESS INTEGRATION PARTNERS SPA,"['ITALY', 'ITALY']","['90', nan]",https://www.info-clipper.com/en/company/italy/business-integration-partners-spa.itd7ep1t8.html,"['MILANO', 'Headquarter']",wissel_aziende_info_clipper
SCHNEIDER ELECTRIC EESTI AS,"['ESTONIA', 'ESTONIA']","['91', nan]",https://www.info-clipper.com/en/company/estonia/schneider-electric-eesti-as.eedao7t44.html,"['Tallinn', 'Single address']",wissel_aziende_info_clipper
WALMART INC.,"['Arkansas(AR)', 'UNITED STATES']","['92', nan]",https://www.info-clipper.com/en/company/united-states/walmart-inc.usduxmvd.html,"['BENTONVILLE', 'Headquarter']",wissel_aziende_info_clipper
BOUYGUES (U.K.) LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['93', nan]",https://www.info-clipper.com/en/company/united-kingdom/bouygues-limited.gbd8vg5kt.html,"['LONDON', 'Headquarter']",wissel_aziende_info_clipper
SOCIETA' GESTIONE SERVIZI AEROPORTI CAMPANI GE.S.A.C. SPA,"['ITALY', 'ITALY']","['94', 'AEROPORTO INTERNAZIONALE DI NAPOLI']",https://www.info-clipper.com/en/company/italy/societa-gestione-servizi-aeroporti-campani-gesac-spa.itd74p0fn.html,"['NAPOLI (AEROPORTO DI CAPODICHINO )', nan]",wissel_aziende_info_clipper
KODUMAJA AS,"['ESTONIA', 'ESTONIA']","['95', nan]",https://www.info-clipper.com/en/company/estonia/kodumaja-as.eed9ct6ci.html,"['Tartu, Tartu', 'Headquarter']",wissel_aziende_info_clipper
"WAL-MART STORES EAST, LP","['Arkansas(AR)', 'UNITED STATES']","['96', 'WALMART']",https://www.info-clipper.com/en/company/united-states/wal-mart-stores-east-lp.usddqkpnf.html,"['BENTONVILLE', 'Headquarter']",wissel_aziende_info_clipper
DELOITTE LLP,"['UNITED KINGDOM', 'UNITED KINGDOM']","['97', nan]",https://www.info-clipper.com/en/company/united-kingdom/deloitte-llp.gbd6173h7.html,"['LONDON', 'Headquarter']",wissel_aziende_info_clipper
UNIVERSITA' DEGLI STUDI SUOR ORSOLA BENINCASA,"['ITALY', 'ITALY']","['98', nan]",https://www.info-clipper.com/en/company/italy/universita-degli-studi-suor-orsola-benincasa.itd7ep0go.html,"['NAPOLI', 'Headquarter']",wissel_aziende_info_clipper
IIZI KINDLUSTUSMAAKLER AS,"['ESTONIA', 'ESTONIA']","['99', nan]",https://www.info-clipper.com/en/company/estonia/iizi-kindlustusmaakler-as.eed5ycjcj.html,"['Tallinn', 'Headquarter']",wissel_aziende_info_clipper
"PALO ALTO NETWORKS, INC.","['California(CA)', 'UNITED STATES']","['100', nan]",https://www.info-clipper.com/en/company/united-states/palo-alto-networks-inc.usd39yxhf.html,"['SANTA CLARA', 'Headquarter']",wissel_aziende_info_clipper
DELOITTE MCS LIMITED,"['UNITED KINGDOM', 'UNITED KINGDOM']","['101', 'DELOITTE']",https://www.info-clipper.com/en/company/united-kingdom/deloitte-mcs-limited.gbd69lict.html,"['LONDON', nan]",wissel_aziende_info_clipper
LOMBARD INTERNATIONAL ASSURANCE S.A.,"['ITALY', 'ITALY']","['102', nan]",https://www.info-clipper.com/en/company/italy/lombard-international-assurance-sa.itd76t5j4.html,"['MILANO', 'Headquarter']",wissel_aziende_info_clipper
MARSH KINDLUSTUSMAAKLER AS,"['ESTONIA', 'ESTONIA']","['103', nan]",https://www.info-clipper.com/en/company/estonia/marsh-kindlustusmaakler-as.eedaphxhc.html,"['Tallinn', 'Single address']",wissel_aziende_info_clipper
