company_name,company_industry,company_legal_form,company_headquarters,file_name
Macleods Pharmaceuticals,Pharma,Public,"Mumbai, Maharashtra, India",AmbitionBox
Subros,Auto Components,Public,"Noida, Uttar Pradesh, India",AmbitionBox
Automatic Data Processing (ADP),IT Services & Consulting,,"New Jersey, United States",AmbitionBox
VE Commercial Vehicles,Automobile,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Varun Beverages,Beverage,Public,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Hindustan Coca Cola Beverages,Beverage,Private,"Bangalore, India",AmbitionBox
Piramal Capital Housing Finance,NBFC,,"Mumbai, India",AmbitionBox
L&T Technology Services,IT Services & Consulting,Public,"Vadodara/Baroda, Gujarat, India",AmbitionBox
Bel,Consumer Electronics & Appliances,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Randstad,,Private,"Chennai, Tamil Nadu, India",AmbitionBox
Pidilite Industries,Chemicals / Agri Inputs,Public,"Mumbai, Maharashtra, India",AmbitionBox
CMS IT Services,IT Services & Consulting,Private,"Bangalore,Karnataka, India",AmbitionBox
Indian Air Force,Defence & Aerospace,Private,"New Delhi, Delhi, India",AmbitionBox
CARS24,Internet,Private,"Gurgaon,Haryana, India",AmbitionBox
Cgi Group,IT Services & Consulting,Private,"Montreal, Quebec, Canada",AmbitionBox
American Express,Financial Services,Private,"New York City,New York, United States",AmbitionBox
Alembic Pharmaceuticals,Pharma,Public,"Vadodara/Baroda, Gujrat, India",AmbitionBox
NatWest Group,Banking,Government,,AmbitionBox
Alkem Laboratories,Pharma,Public,"Mumbai, Maharashtra, India",AmbitionBox
Gati kwe,Logistics,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Havells,Electrical Equipment,Public,"Noida, Uttar Pradesh, India",AmbitionBox
Glenmark Pharmaceuticals,Pharma,Public,"Mumbai, Maharashtra, India",AmbitionBox
ABB Group,Electrical Equipment,Public,"Zurich, Switzerland",AmbitionBox
Deutsche Bank,Banking,Private,"Frankfurt, Germany",AmbitionBox
Shoppers Stop,Retail,Public,"Mumbai, Maharashtra, India",AmbitionBox
Simplex Infrastructures,Engineering & Construction,Public,"Kolkata, West Bengal, India",AmbitionBox
Ipca Laboratories,Pharma,Public,"Mumbai, Maharashtra, India",AmbitionBox
Honda Motorcycle & Scooter,Automobile,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Atos,IT Services & Consulting,Private,"Vilnius,Vilniaus Apskritis, Lithuania",AmbitionBox
DTDC Express,Logistics,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
DCB Bank,Banking,Private,"Mumbai, Maharashtra, India",AmbitionBox
Reliance Nippon Life Insurance,Insurance,Private,"Mumbai, Maharashtra, India",AmbitionBox
Arvind Group,Fashion & Textile,Public,"Ahmedabad, Gujrat, India",AmbitionBox
Hindalco Industries,Metals & Mining,Public,"Mumbai, Maharashtra, India",AmbitionBox
McDonald's,Hospitality,Private,"Chicago, Illinois, United States (USA)",AmbitionBox
Suzlon Group,Power,Public,"Pune,Maharashtra, India",AmbitionBox
Muthoot Group,NBFC,Public,"Wedel,Schleswig-holstein, Germany",AmbitionBox
Conduent,BPO,Private,"Florham Park, New Jersey, United States (USA)",AmbitionBox
Wipro Enterprises Ltd,IT Services & Consulting,,"Bangalore, India",AmbitionBox
Standard Chartered Bank,Financial Services,Private,"London, United Kingdom (UK)",AmbitionBox
Team Lease,Recruitment,Public,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Standard Chartered Bank,Financial Services,Private,"London, United Kingdom (UK)",AmbitionBox
24/7 Customer,Software Product,Private,"San Jose,California, United States",AmbitionBox
Maersk,Logistics,Private,"Copenhagen, Denmark",AmbitionBox
Vishal Mega Mart,Retail,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
KocharTech,IT Services & Consulting,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Ekart Logistics,Logistics,Private,"San Francisco,California, United States",AmbitionBox
MRF Tyres,Auto Components,Public,"Chennai, Tamil Nadu, India",AmbitionBox
Bajaj Electricals,Consumer Electronics & Appliances,Public,"Mumbai, Maharashtra, India",AmbitionBox
Titan Company,Other,Public,"Mumbai,Maharashtra, India",AmbitionBox
Lava International,Telecom,Public,"Noida,Uttar Pradesh, India",AmbitionBox
Publicis Sapient,IT Services & Consulting,Private,"New York, New York, United States (USA)",AmbitionBox
Bank of America,Banking,Private,"Charlotte, UnitedStates",AmbitionBox
Ceat Tyres,Auto Components,Public,"Mumbai, Maharashtra, India",AmbitionBox
Huawei Technologies,IT Services & Consulting,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Tata AIA Life Insurance,Insurance,Private,"Mumbai, Maharashtra, India",AmbitionBox
Jindal Steel and Power,Iron & Steel,Private,"Delhi/NCR, New Delhi, India",AmbitionBox
RSPL Group,FMCG,Private,"Mumbai, Maharashtra, India",AmbitionBox
Torrent Pharmaceuticals,Pharma,Public,"Ahmedabad, Gujrat, India",AmbitionBox
ITC Infotech India,IT Services & Consulting,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
PNB MetLife,Insurance,Private,"Mumbai, Maharashtra, India",AmbitionBox
Tractors and Farm Equipment,Automobile,Public,"Chennai, Tamil Nadu, India",AmbitionBox
RBL Bank,Banking,Public,"Mumbai, Maharashtra, India",AmbitionBox
ACC,Building Material,Public,"Mumbai, Maharashtra, India",AmbitionBox
State Street Syntel,Financial Services,Private,"Mumbai, India",AmbitionBox
Biocon Biologics India,Biotechnology,Public,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Capita,BPO/KPO,Private,"Indore, Madhya Pradesh, India",AmbitionBox
IndiGo,Logistics,Private,"Boston,Massachusetts, United States",AmbitionBox
Utkarsh Small Finance Bank,Banking,Public,"Varanasi,Uttar Pradesh, India",AmbitionBox
Berger Paints,Chemicals,Public,"Kolkata, West Bengal, India",AmbitionBox
Future Retail,Retail,Public,"San Francisco,California, United States",AmbitionBox
Kotak Mahindara Life Insurance,Insurance,Public,"Mumbai, Maharashtra, India",AmbitionBox
Aarti Industries,Chemicals,Public,"Mumbai, Maharashtra, India",AmbitionBox
HDFC Ergo General Insurance,Insurance,Public,"Mumbai, Maharashtra, India",AmbitionBox
Dabur,FMCG,Public,"Ghaziabad, Uttar Pradesh, India",AmbitionBox
Cogent E Services,BPO,Private,"Noida, Uttar Pradesh, India",AmbitionBox
GeBBS Healthcare Solutions,BPO,Private,"Culver City, California, United States (USA)",AmbitionBox
Apollo Tyres,Auto Components,Public,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Persistent Systems,IT Services & Consulting,Public,"Pune, Maharashtra, India",AmbitionBox
KPIT Technologies,Software Product,Public,"Pune, Maharashtra, India",AmbitionBox
JK Cement,Building Material,Public,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
R1 RCM,Accounting & Auditing,Private,"Murray, Utah, United States (USA)",AmbitionBox
Patanjali Ayurved,FMCG,Private,"Haridwar, Uttarakhand, India",AmbitionBox
Dilip Buildcon,Engineering & Construction,Public,"Bhopal, Madhya Pradesh, India",AmbitionBox
Flex,Electronics Manufacturing,Private,"San Jose, Singapore",AmbitionBox
PolicyBazaar,FinTech,Public,"Gurgaon,Haryana, India",AmbitionBox
Rivigo,Internet,Private,"Gurgaon,Haryana, India",AmbitionBox
Reliance Digital,Retail,Private,"Mumbai, Maharashtra, India",AmbitionBox
Tata Teleservices,Telecom,Public,"Mumbai, Maharashtra, India",AmbitionBox
Ola Cabs,Internet,Private,"Bangalore, India",AmbitionBox
Access Healthcare,IT Services & Consulting,Private,"Dallas,Texas, United States",AmbitionBox
Tata AIG,Insurance,Private,"Mumbai, Maharashtra, India",AmbitionBox
Aakash Educational Services,EdTech,Private,"New Delhi, Delhi, India",AmbitionBox
AFCONS Infrastructure,Real Estate,Partnership,"Mumbai, Maharashtra, India",AmbitionBox
Eureka Forbes,Consumer Electronics & Appliances,Private,"Mumbai, Maharashtra, India",AmbitionBox
Blue Dart Express,Logistics,Public,"Mumbai, Maharashtra, India",AmbitionBox
Radisson Hotels,Hospitality,Private,"Minnetonka, Minnesota, United States (USA)",AmbitionBox
Landmark Group,Retail,Private,"Dubai Marina, Dubai, United Arab Emirates (UAE)",AmbitionBox
Paras Hospital,Healthcare,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
JMC Projects,Engineering & Construction,Public,"Mumbai, Maharashtra, India",AmbitionBox
Escorts Group,Automobile,Public,"Faridabad, Haryana, India",AmbitionBox
Mankind Pharma,Pharma,Private,"New Delhi, Delhi, India",AmbitionBox
Legato Health Technologies,Healthcare,LLP,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Nestle,Food Processing,Public,"Vevey, Switzerland",AmbitionBox
Lifestyle,Retail,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Max Healthcare,Healthcare,Partnership,"Delhi/NCR, New Delhi, India",AmbitionBox
Synechron,IT Services & Consulting,Private,"New York, New York, United States (USA)",AmbitionBox
Statestreet HCL Services,BPO,Private,"New Delhi, India",AmbitionBox
I Process Services,Recruitment,Private,"Mumbai, Maharashtra, India",AmbitionBox
Birlasoft,IT Services & Consulting,Public,"Pune, Maharashtra, India",AmbitionBox
Fiserv,Financial Services,Private,"Brookfield,Wisconsin, United States",AmbitionBox
G4S,Financial Services,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Voltas,Consumer Electronics & Appliances,Public,"Mumbai, Maharashtra, India",AmbitionBox
Zensar Technologies,IT Services & Consulting,Public,"Pune, Maharashtra, India",AmbitionBox
Birla Sun Life Insurance,Insurance,Private,"Mumbai, Maharashtra, India",AmbitionBox
United Phosphorus,Agro Chemicals,Public,"Mumbai, Maharashtra, India",AmbitionBox
Pfizer,Pharma,Public,"Chennai, Tamil Nadu, India",AmbitionBox
AGS Health,Software Product,Private,"Washington DC, United States (USA)",AmbitionBox
Walmart,Retail,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Lenskart,Other,Private,"Faridabad, Haryana, India",AmbitionBox
Life Insurance Corporation of India,Insurance,Private,"Mumbai, India",AmbitionBox
HCL Infosystems,IT Services & Consulting,Public,"Noida, Uttar Pradesh, India",AmbitionBox
Aditya Birla Group,Metals & Mining,,"Mumbai, Maharashtra, India",AmbitionBox
HDFC Sales,Financial Services,Private,"Mumbai, Maharashtra, India",AmbitionBox
Reliance SMSL,BPO,Public,"Mumbai, India",AmbitionBox
Delhi Public School,Education & Training,Public,"Greater Noida, Uttar Pradesh, India",AmbitionBox
Tata Technologies,IT Services & Consulting,Private,"Singapore, Singapore",AmbitionBox
ACT Fibernet,Telecom,Private,"Bengaluru/Bangalore, Karnataka, India",AmbitionBox
Micro Labs,Pharma,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Samsung Electronics,,,,AmbitionBox
Samsung Electronics,,,,AmbitionBox
TVS Supply Chain Solutions,Logistics,,"Chennai, Tamil Nadu, India",AmbitionBox
Ajanta Pharma,Pharma,Public,"Mumbai, Maharashtra, India",AmbitionBox
Extramarks Education,EdTech,Private,"Noida,Uttar Pradesh, India",AmbitionBox
Exide Industries,Auto Components,Public,"Kolkata, West Bengal, India",AmbitionBox
PepsiCo,Food Processing,Private,"Harrison, New York, United States (USA)",AmbitionBox
Cholamandalam MS General Insurance,Insurance,JV,"Chennai, Tamil Nadu, India",AmbitionBox
Bajaj Allianz General Insurance Company Ltd,Financial Services,,,AmbitionBox
Societe Generale,Financial Services,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
R.R. Donnelley,BPO,Private,"Chicago, Illinois, United States (USA)",AmbitionBox
BHEL,Electrical Equipment,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Britannia,Food Processing,Public,"Reading,Reading, United Kingdom",AmbitionBox
Blue Star,Consumer Electronics & Appliances,Public,"Mumbai, Maharashtra, India",AmbitionBox
Kalyan Jewellers,Metals & Mining,Private,India,AmbitionBox
Mahindra Rural Housing Finance,Financial Services,Public,"Mumbai,Maharashtra, India",AmbitionBox
The Himalaya Drug Company,Pharma,Private,"San Francisco,California, United States",AmbitionBox
Renault-Nissan,Automobile,Private,"Chennai, Tamil Nadu, India",AmbitionBox
Emcure Pharmaceuticals,Pharma,Private,"Pune, India",AmbitionBox
Mahindra Holidays & Resorts,Hospitality,Private,"Mumbai, Maharashtra, India",AmbitionBox
PVR Cinemas,Media & Entertainment,Public,"Gurgaon, India",AmbitionBox
Raymond,Fashion & Textile,Public,"New York, United States",AmbitionBox
BlackBuck,Logistics,Private,"Bangalore,Karnataka, India",AmbitionBox
Poonawalla Fincorp,NBFC,Public,"Mumbai, Maharashtra, India",AmbitionBox
Dalmia Bharat Cement,Building Material,Public,"Delhi/NCR, New Delhi, India",AmbitionBox
IGT Solutions,IT Services & Consulting,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Sonalika Tractors,Automobile,Private,"Hoshiarpur, Punjab, India",AmbitionBox
State Street Corporation,Financial Services,Private,"Boston,Massachusetts, United States",AmbitionBox
Yazaki,Auto Components,Private,"Tokyo, Tokyo, Japan",AmbitionBox
TVS Sundram Fasteners,Auto Components,Public,"Chennai, Tamil Nadu, India",AmbitionBox
Exide Life Insurance,Insurance,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Sterling & Wilson,Real Estate,Private,"Mumbai, India",AmbitionBox
Ambuja Cements,Building Material,Public,"Mumbai, Maharashtra, India",AmbitionBox
UNO Minda,Auto Components,,"Gurgaon, India",AmbitionBox
