company_name,company_industry,company_status,file_name
First Investment Bank,Financials,Sofia,MalPatSaj_wikipedia
Girdap,Financials,Ruse,MalPatSaj_wikipedia
Haemimont Games,Technology,Sofia,MalPatSaj_wikipedia
Heli Air Services,Consumer services,Sofia,MalPatSaj_wikipedia
Hotel Rodina,Consumer services,Sofia,MalPatSaj_wikipedia
HVB Bank Biochim,Financials,Sofia,MalPatSaj_wikipedia
Kamenitza,Consumer goods,Plovdiv,MalPatSaj_wikipedia
Karlsberg Bulgaria AD,Consumer goods,Shumen,MalPatSaj_wikipedia
Kino Nova,Consumer services,Sofia,MalPatSaj_wikipedia
Kintex,Industrials,Sofia,MalPatSaj_wikipedia
Kremikovtzi AD,Basic materials,Sofia,MalPatSaj_wikipedia
"M3 Communications Group, Inc",Consumer services,Sofia,MalPatSaj_wikipedia
Maxeurope,Consumer goods,Plovdiv,MalPatSaj_wikipedia
Mtel (Mobiltel),Telecommunications,Sofia,MalPatSaj_wikipedia
Multigroup,Conglomerates,Sofia,MalPatSaj_wikipedia
Navibulgar,Industrials,Varna,MalPatSaj_wikipedia
LUKOIL Neftochim Burgas,Oil & gas,Burgas,MalPatSaj_wikipedia
NEK EAD,Utilities,Sofia,MalPatSaj_wikipedia
Neterra,Telecommunications,Sofia,MalPatSaj_wikipedia
Nimero,Technology,Sofia,MalPatSaj_wikipedia
Ontotext,Technology,Sofia,MalPatSaj_wikipedia
Overgas,Oil & gas,Sofia,MalPatSaj_wikipedia
Petrol AD,Oil & gas,Sofia,MalPatSaj_wikipedia
Pirinsko Pivo,Consumer goods,Blagoevgrad,MalPatSaj_wikipedia
Prista Oil,Basic materials,Ruse,MalPatSaj_wikipedia
Prosveta Publishing House,Consumer services,Sofia,MalPatSaj_wikipedia
Raiffeisen Bulgaria,Financials,Sofia,MalPatSaj_wikipedia
Sucreries Raffineries Bulgares,Consumer goods,Sofia,MalPatSaj_wikipedia
Technomarket,Consumer services,Sofia[4],MalPatSaj_wikipedia
Telenor Bulgaria,Telecommunications,Sofia,MalPatSaj_wikipedia
TEREM,Industrials,Sofia,MalPatSaj_wikipedia
Texim Bank,Financials,Sofia,MalPatSaj_wikipedia
UniCredit Bulbank,Financials,Sofia,MalPatSaj_wikipedia
Unionbank,Financials,Sofia,MalPatSaj_wikipedia
United Bulgarian Bank,Financials,Sofia,MalPatSaj_wikipedia
Varna shipyard,Industrials,Varna,MalPatSaj_wikipedia
Vitta Foods,Consumer goods,Svilengrad,MalPatSaj_wikipedia
Vivacom,Telecommunications,Sofia,MalPatSaj_wikipedia
VRZ Karlovo,Industrials,Karlovo,MalPatSaj_wikipedia
3. Maj,Industrials,Rijeka,MalPatSaj_wikipedia
3LHD,Industrials,Zagreb,MalPatSaj_wikipedia
A1 Hrvatska,Telecommunications,Zagreb,MalPatSaj_wikipedia
LNG Hrvatska,Oil & gas,Omišalj,MalPatSaj_wikipedia
Adriatic Croatia International Club,Consumer services,Opatija,MalPatSaj_wikipedia
Adris Grupa,Consumer goods,Rovinj,MalPatSaj_wikipedia
Agrokor,Consumer goods,Zagreb,MalPatSaj_wikipedia
Aquarius Records,Consumer services,Zagreb,MalPatSaj_wikipedia
Atlantic Grupa,Consumer goods,Zagreb,MalPatSaj_wikipedia
Atlantska plovidba,Industrials,Dubrovnik,MalPatSaj_wikipedia
Badel 1862,Consumer goods,Zagreb,MalPatSaj_wikipedia
BioGnost,Health care,Zagreb,MalPatSaj_wikipedia
Blue Line International,Industrials,Split,MalPatSaj_wikipedia
