company_name,company_market_cap,company_employees,file_name
Snack Food,Regional,"['291', '334']",campaignindia
White Goods,"Australia, Singapore","['292', '297']",campaignindia
Food,Korea,"['293', '187']",campaignindia
Tea,Thailand,"['294', '326']",campaignindia
Bank,Thailand,"['295', '298']",campaignindia
Budget Airlines,Thailand,"['296', '267']",campaignindia
Detergent,"China, Southeast Asia","['297', '274']",campaignindia
Instant Noodles,Korea,"['298', '313']",campaignindia
Menâs Shoes,Regional,"['299', '243']",campaignindia
Beverage,"Hong Kong, Taiwan","['300', '291']",campaignindia
Beverage,"Japan, Singapore","['301', '537']",campaignindia
Convenience Store,Singapore,"['302', '296']",campaignindia
Petrol/Gas Station,Southeast Asia,"['303', '282']",campaignindia
Pharmacy/Drugstore,India,"['304', '342']",campaignindia
Sweets and Candy,Regional,"['305', '205']",campaignindia
Supermarket,"Hong Kong, China, Japan","['306', '220']",campaignindia
Milk Powder/Milk,Korea,"['307', '193']",campaignindia
Coffee Shop,Singapore,"['308', '329']",campaignindia
Internet Search Engine,Korea,"['309', '156']",campaignindia
Insurance,China,"['310', '353']",campaignindia
Milk,Taiwan,"['311', '362']",campaignindia
Consumer Electronics,Taiwan,"['312', '429']",campaignindia
White Goods,China,"['313', '539']",campaignindia
Milk,"Malaysia, Singapore","['314', '178']",campaignindia
Watch,Regional,"['315', '286']",campaignindia
Milk,Korea,"['316', '213']",campaignindia
Cosmetics,Regional,"['317', '401']",campaignindia
Mineral Water,China,"['318', '478']",campaignindia
Insurance,"Malaysia, Singapore","['319', '403']",campaignindia
Bank,Hong Kong,"['320', '247']",campaignindia
Instant Noodles,"Hong Kong, Thailand","['321', '360']",campaignindia
Cosmetics,Regional,"['322', '245']",campaignindia
Mobile Service Provider,Singapore,"['323', '378']",campaignindia
Camera,Regional,"['324', '232']",campaignindia
Restaurant Chain,"Korea, China","['325', '431']",campaignindia
Tyre,"India, Malaysia","['326', '387']",campaignindia
Snack Food,"Japan, China","['327', '237']",campaignindia
Coffee,"Hong Kong, Taiwan","['328', '355']",campaignindia
Milk,"Australia, Hong Kong","['329', '239']",campaignindia
Camera,Regional,"['330', '391']",campaignindia
Shampoo,Regional,"['331', '397']",campaignindia
Fragrance,Regional,"['332', '340']",campaignindia
Spirits,Regional,"['333', '350']",campaignindia
Mineral Water,"Australia, India","['334', '368']",campaignindia
Insurance,"Hong Kong, Southeast Asia","['335', '471']",campaignindia
Hotel,India,"['336', '304']",campaignindia
Bank,"Malaysia, Singapore","['337', '374']",campaignindia
Beer,Korea,"['338', '460']",campaignindia
Detergent,"China, India","['339', '424']",campaignindia
Detergent,"Malaysia, Singapore","['340', '412']",campaignindia
Skincare Product,Regional,"['341', '249']",campaignindia
Fruit Juice,"Japan, Thailand","['342', '328']",campaignindia
Mobile Service Provider,China,"['343', '364']",campaignindia
Luxury Fashion Retailer,Regional,"['344', '288']",campaignindia
Pharmacy/Drugstore,Taiwan,"['345', '369']",campaignindia
Chocolate,Regional,"['346', '266']",campaignindia
Pharmacy/Drugstore,Hong Kong,"['347', '272']",campaignindia
Luxury Fashion Retailer,Regional,"['348', '252']",campaignindia
Hotel,Regional,"['349', '393']",campaignindia
Bank,Malaysia,"['350', '411']",campaignindia
Full-service Airlines,"China, Hong Kong","['351', '382']",campaignindia
Coffee,"Japan, China","['352', '440']",campaignindia
Chewing/Bubble Gum,"Australia, China","['353', '377']",campaignindia
Tyre,Korea,"['354', '325']",campaignindia
Sports Drink,Thailand,"['355', '376']",campaignindia
Petrol/Gas Station,Korea,"['356', '541']",campaignindia
Full-service Airlines,Taiwan,"['357', '278']",campaignindia
Sauce/Condiment,India,"['358', '482']",campaignindia
Home Audio,Regional,"['359', '535']",campaignindia
White Goods,India,"['360', '317']",campaignindia
Bank,"Malaysia, Singapore","['361', '405']",campaignindia
Car/Automobile,Regional,"['362', '420']",campaignindia
White Goods,Taiwan,"['363', '464']",campaignindia
Full-service Airlines,China,"['364', '436']",campaignindia
Insurance,"Hong Kong, Taiwan","['365', '511']",campaignindia
Mobile Service Provider,Japan,"['366', '512']",campaignindia
Carbonated Soft Drink,Taiwan,"['367', '333']",campaignindia
Fruit Juice,"Hong Kong, Southeast Asia","['368', '339']",campaignindia
Coffee,"China, Southeast Asia","['369', '381']",campaignindia
Car/Automobile,Regional,"['370', '480']",campaignindia
Sauce/Condiment,Korea,"['371', '771']",campaignindia
Coffee Shop,India,"['372', '534']",campaignindia
Courier Company,Japan,"['373', '400']",campaignindia
Tea,Hong Kong,"['374', '809']",campaignindia
Shower Gel/Soap,Japan,"['375', '379']",campaignindia
Toothpaste,"Australia, India","['376', '406']",campaignindia
Supermarket,"Malaysia, Singapore","['377', '338']",campaignindia
Fruit Juice,China,"['378', '327']",campaignindia
Sports Drink,"Japan, Malaysia","['379', '357']",campaignindia
Petrol/Gas Station,Japan,"['380', 'New entry']",campaignindia
Credit Card,Regional,"['381', '425']",campaignindia
Snack Food,"Korea, China","['382', '438']",campaignindia
Fruit Juice,Thailand,"['383', '356']",campaignindia
Pharmacy/Drugstore,"India, Malaysia","['384', '492']",campaignindia
Mobile Service Provider,Hong Kong,"['385', '352']",campaignindia
Skincare Product,Regional,"['386', '280']",campaignindia
Social Networking Site,"Australia, India","['387', '416']",campaignindia
Toothpaste,Korea,"['388', '631']",campaignindia
Milk Powder,Singapore,"['389', '354']",campaignindia
Supermarket,Japan,"['390', '495']",campaignindia
Menâs Shoes,"Japan, China","['391', '422']",campaignindia
Coffee Shop,"Australia, Singapore","['392', '409']",campaignindia
White Goods,China,"['393', '310']",campaignindia
