company_market_cap,company_employees,brand name,category,file_name
Thailand,294|326,Oishi,Tea,campaignindia
Thailand,295|298,Bangkok Bank,Bank,campaignindia
Thailand,296|267,Nok Air,Budget Airlines,campaignindia
China. Southeast Asia,297|274,Attack,Detergent,campaignindia
Korea,298|313,Samyang,Instant Noodles,campaignindia
Regional,299|243,Clarks,Menâs Shoes,campaignindia
Hong Kong. Taiwan,300|291,Vita,Beverage,campaignindia
Japan. Singapore,301|537,Pokka,Beverage,campaignindia
Singapore,302|296,Cheers,Convenience Store,campaignindia
Southeast Asia,303|282,Petronas,Petrol/Gas Station,campaignindia
India,304|342,Apollo,Pharmacy/Drugstore,campaignindia
Regional,305|205,Mentos,Sweets and Candy,campaignindia
Hong Kong. China. Japan,306|220,Jusco,Supermarket,campaignindia
Korea,307|193,Namyang,Milk Powder/Milk,campaignindia
Singapore,308|329,Kopitiam,Coffee Shop,campaignindia
Korea,309|156,Daum,Internet Search Engine,campaignindia
China,310|353,Ping An Insurance,Insurance,campaignindia
Taiwan,311|362,Kuang-Chuan,Milk,campaignindia
Taiwan,312|429,Tatung,Consumer Electronics,campaignindia
China,313|539,Midea,White Goods,campaignindia
Malaysia. Singapore,314|178,Magnolia,Milk,campaignindia
Regional,315|286,Swatch,Watch,campaignindia
Korea,316|213,Maeil,Milk,campaignindia
Regional,317|401,Revlon,Cosmetics,campaignindia
China,318|478,Nongfu Shan Quan,Mineral Water,campaignindia
Malaysia. Singapore,319|403,Great Eastern,Insurance,campaignindia
Hong Kong,320|247,Hang Seng Bank,Bank,campaignindia
Hong Kong. Thailand,321|360,Wai Wai,Instant Noodles,campaignindia
Regional,322|245,Maybelline,Cosmetics,campaignindia
Singapore,323|378,StarHub,Mobile Service Provider,campaignindia
Regional,324|232,Kodak,Camera,campaignindia
Korea. China,325|431,Outback,Restaurant Chain,campaignindia
India. Malaysia,326|387,Madras Rubber Factory,Tyre,campaignindia
Japan. China,327|237,Glico,Snack Food,campaignindia
Hong Kong. Taiwan,328|355,Mr. Brown,Coffee,campaignindia
Australia. Hong Kong,329|239,Dairy Farm,Milk,campaignindia
Regional,330|391,Fuji,Camera,campaignindia
Regional,331|397,Vidal Sassoon,Shampoo,campaignindia
Regional,332|340,Hugo Boss,Fragrance,campaignindia
Regional,333|350,Chivas,Spirits,campaignindia
Australia. India,334|368,Bisleri,Mineral Water,campaignindia
Hong Kong. Southeast Asia,335|471,AXA,Insurance,campaignindia
India,336|304,Taj,Hotel,campaignindia
Malaysia. Singapore,337|374,United Overseas Bank,Bank,campaignindia
Korea,338|460,Hite,Beer,campaignindia
China. India,339|424,Ariel,Detergent,campaignindia
Malaysia. Singapore,340|412,Dynamo,Detergent,campaignindia
Regional,341|249,Biotherm,Skincare Product,campaignindia
Japan. Thailand,342|328,Malee,Fruit Juice,campaignindia
China,343|364,China Unicom,Mobile Service Provider,campaignindia
Regional,344|288,Burberry,Luxury Fashion Retailer,campaignindia
Taiwan,345|369,Cosmed,Pharmacy/Drugstore,campaignindia
Regional,346|266,M&Mâs,Chocolate,campaignindia
Hong Kong,347|272,Manningâs,Pharmacy/Drugstore,campaignindia
Regional,348|252,Prada,Luxury Fashion Retailer,campaignindia
Regional,349|393,Sheraton,Hotel,campaignindia
Malaysia,350|411,CIMB Bank,Bank,campaignindia
China. Hong Kong,351|382,China Southern Airlines,Full-service Airlines,campaignindia
Japan. China,352|440,UCC,Coffee,campaignindia
Australia. China,353|377,Airwaves,Chewing/Bubble Gum,campaignindia
Korea,354|325,Kumho,Tyre,campaignindia
Thailand,355|376,Sponsor,Sports Drink,campaignindia
Korea,356|541,GS Caltex,Petrol/Gas Station,campaignindia
Taiwan,357|278,Eva Air,Full-service Airlines,campaignindia
India,358|482,Kissan,Sauce/Condiment,campaignindia
Regional,359|535,Bose,Home Audio,campaignindia
India,360|317,Kelvinator,White Goods,campaignindia
