company_name,company_industry,company_country,company_employees,company_nace_code,link,file_name
Nutis,Food & Beverage,Italy,18,5.056.954,https://www.caffebarbaro.it,ft
Frontline Healthcare,Health,United Kingdom,24,6.3,https://chemist.co.uk,ft
Plastore,Retail,Italy,3,4.42,https://www.plastore.it/,ft
Rivile,Technology,Lithuania,24,3.905.042,https://www.rivile.lt/en/,ft
MaGarantie5ans,Retail,France,20,9.253.546,https://www.magarantie5ans.fr/,ft
Hit-Air France,Personal & Household Goods,France,3,3.513.841,https://www.hit-air-france.fr,ft
Lymet,Construction,Spain,231,22.508.568,http://www.lymet.net,ft
Rains,Fashion,Denmark,35,19.5,https://www.rains.com,ft
KERRIS Group,Advertising,Poland,35,1.66,https://kerrisgroup.com/,ft
Softelligence,Technology,Romania,84,5.74,https://www.softelligence.net/,ft
BEBEBOUTIK,Retail,France,98,29.080.296,https://bebeboutik.com/,ft
Venticento,Cyber Security,Italy,26,9.700.000,https://www.venticento.com,ft
6point6,Technology,United Kingdom,38,17.0,https://www.6point6.co.uk,ft
Terre et Lac Conseil,Management Consulting,France,9,1.69,https://conseil.terreetlac.com/,ft
Radar Cyber Security,Technology,Austria,122,12.727.043,https://www.radarcs.com/,ft
