company_name,industry,sector,headquarters,file_name
Interxion,Technology,Datacentres,Schiphol-Rijk,MalPatSaj_wikipedia
IPTP Networks,Telecommunications,Fixed line telecommunications,Amsterdam,MalPatSaj_wikipedia
Jumbo,Consumer goods,Food retailers & wholesalers,Veghel,MalPatSaj_wikipedia
Just Eat Takeaway,Technology,Consumer digital services,Amsterdam,MalPatSaj_wikipedia
KLM,Consumer services,Airlines,Amstelveen,MalPatSaj_wikipedia
KPMG,Industrials,Business support services,Amstelveen,MalPatSaj_wikipedia
KPN,Telecommunications,Fixed line telecommunications,The Hague,MalPatSaj_wikipedia
LandFighter,Consumer goods,Automobiles,Best,MalPatSaj_wikipedia
LeasePlan,Consumer services,Rental and leasing services,Amsterdam,MalPatSaj_wikipedia
Liander,Utilities,Conventional electricity,Arnhem,MalPatSaj_wikipedia
Lucas Bols,Consumer goods,Distillers & vintners,Amsterdam,MalPatSaj_wikipedia
Martinair,Consumer services,Airlines,Schiphol-Oost,MalPatSaj_wikipedia
Nederlandse Spoorwegen,Industrials,Railroads,Utrecht,MalPatSaj_wikipedia
Nipparts,Consumer goods,Auto parts,Amsterdam,MalPatSaj_wikipedia
Nutricia,Consumer goods,Food products,Amsterdam,MalPatSaj_wikipedia
Nuon Energy,Utilities,Multiutilities,Amsterdam,MalPatSaj_wikipedia
NXP Semiconductors,Technology,Semiconductors,Eindhoven,MalPatSaj_wikipedia
Océ,Technology,Electronic office equipment,Venlo,MalPatSaj_wikipedia
Perfetti Van Melle,Consumer goods,Food products,Lainate/Breda,MalPatSaj_wikipedia
Philips,Consumer goods,Consumer electronics,Eindhoven,MalPatSaj_wikipedia
PostNL,Industrials,Delivery services,The Hague,MalPatSaj_wikipedia
Prosus,Technology,Consumer digital services,Amsterdam,MalPatSaj_wikipedia
Q-Park,Consumer services,Parking,Maastricht,MalPatSaj_wikipedia
Rabobank,Financials,Banks,Utrecht,MalPatSaj_wikipedia
Randstad Holding,Industrials,Business support services,Diemen,MalPatSaj_wikipedia
Royal BAM Group,Industrials,Heavy construction,Bunnik,MalPatSaj_wikipedia
Royal Boskalis Westminster,Industrials,Heavy construction,Papendrecht,MalPatSaj_wikipedia
Royal Imtech N.V.,Industrials,Electrical components & equipment,Gouda,MalPatSaj_wikipedia
